State Name,Non-Elderly Population,Non-Elderly Uninsured Population,Non-Elderly Percent Uninsured,HIU Income < 100% FPL,HIU Income 100-138% FPL,HIU Income 139-249% FPL,HIU Income 250-400% FPL,HIU Income 400% FPL,Age 0-18,Age 19-34,Age 35-49,Age 50-64,Male,Female,Less than High School,High_School,College Grad,Spanish/Hispanic/Latino Origin,White Non-Latino,Black Non-Latino,Asian / Native-Hawaiian / Pac Islander,American Indian / Alaska Native,Multi-racial or Other,Internet Access in HH,Cellular data plan for mobile device in HH,High Speed Internet service in HH,SNAP Recipient,Disabled,Full-time Worker in Family,"Self-Employed, Incorporated","Self-Employed, Unincorporated",No English Speaking Adults in HH,English Speaker,Other Language Spoken in HH,Non-Elderly Unisured Population,Total Children,Total married,Industrial Employed
INDIANA,0.4898984908756498,0.6164275601481999,0.08069125819668586,0.35535712835403865,0.42685574330465437,0.7794772729196906,0.878901618042428,0.6273405462234699,1.3413431776613765,0.6095740639562549,0.3550524112442917,0.5028579388546068,0.5591385077438762,0.6917344152951563,0.7379871900356002,0.6241376761347359,0.3712363566726839,-0.13408773833706591,1.3015944860103819,0.05702946193132483,-0.04250326170522026,-0.3822676655008807,0.44676477422980004,0.5366197580544596,0.5555716485119363,0.4954470973311979,-0.03832905886401926,0.5503415502403497,0.7585756012845148,0.5477077444668945,0.3669866895738937,-0.046802547331613265,0.7961912398202695,0.9236140063193599,"5,10,300",0.9042603849406089,0.5976755423225063,0.5321071553418809
IOWA,-0.41525130667498417,-0.6599973659790106,-0.9127247035644016,-0.6609158139014469,-0.5204367603304226,-0.7533451852110996,-0.5998810805680838,-0.5622162370175139,-0.5754239840206926,-0.6888913849947259,-0.6214365375807119,-0.6780618361025917,-0.6680543212202746,-0.6455829517524841,-0.602296384014163,-0.6528596887275316,-0.7107181391647472,-0.5799976662967922,-0.46927061937348874,-0.6902142783941364,-0.39025722111156796,-0.5017263109699059,-0.8604553054790158,-0.6758247740903651,-0.6677978034859562,-0.6619634410750912,-0.6741542817712236,-0.6922387305729755,-0.6328166686789618,-0.7203369086819847,-0.554747321448909,-0.5450946522028896,-0.6523034637064258,-0.30877888055899533,"1,60,700",-0.616754692302467,-0.6166555174189438,-0.6424519571408885
KANSAS,-0.4682555740991204,-0.2627575720355309,0.7658057145836427,-0.23666727754453024,-0.1156845087772534,-0.16683582861716179,-0.3782598008028479,-0.3730721507933728,-0.28368275173053414,-0.27774400477989303,-0.2520530775382948,-0.22583099742678597,-0.27998923772853085,-0.2378221008180615,-0.3566039779603874,-0.2303719931198099,-0.2300889507748127,-0.14562893647249414,-0.16068275938808382,-0.5042486416615556,-0.34538574247849085,-0.24787668934822732,0.09239788515210898,-0.22366180445744457,-0.21583463079802326,-0.23347764309230315,-0.29125400941274143,0.060365098815536936,-0.21953183601654297,-0.018603459852022417,-0.3387159126154396,-0.15753412619189688,-0.23785904173625214,-0.5754369905853061,"2,69,500",-0.17092336201769937,-0.18902505810329434,-0.20450569933416068
KENTUCKY,-0.08579167119753543,-0.30474523407918913,-0.6386789210096186,-0.17896092751109574,-0.12429625881029956,-0.3525881684860648,-0.3625697986955746,-0.4870143714103253,-0.2755030910121185,-0.2977511765665029,-0.2971593086325834,-0.3282228854288552,-0.25416023054807385,-0.3725905176523198,-0.2306078722917845,-0.29949550890330173,-0.4003566901595877,-0.5516692708734684,0.12348447858408762,-0.47888969119802177,-0.5248716570107994,-0.606252625755303,-0.45883949785763267,-0.3510856762013119,-0.35625940255908883,-0.3942291067598433,-0.4774348757888841,-0.01803113341243311,-0.34589248600298367,-0.3386924014235842,-0.458733361967367,-0.20404138931321603,-0.2799904083895737,0.13084665218708455,"2,58,000",-0.28142035120465686,-0.2018074903110991,-0.30700375967190546
LOUISIANA,-0.05175548609574897,0.12352891876612489,0.3204813179321205,0.3916907561528678,0.017797616734962,0.07010810097939167,-0.14487101945715708,-0.015293578056142029,-0.09827710877977926,0.13840516838159236,0.18925653478960944,0.13595367351385867,0.23659090588060863,-0.03221387513502631,0.18517927641460502,0.17602660829692665,-0.16111973988477724,-0.25999171799628273,-0.03635959277525881,1.1829668625122236,-0.2668606548706059,-0.2777413507154836,0.013649687579288744,-0.00035040380932921405,-0.003802525092573252,-0.06552007932932154,0.10921049562273534,0.08780378009532645,0.03603970418159646,-0.15402570436306778,0.24216854224788917,0.05728513679705334,0.2196326461623152,-0.43129747165216514,"3,75,300",-0.03256191468794387,-0.06933501106657727,0.048551712791563326
MAINE,-0.8737057200642383,-0.9692456246831717,-0.5701674753709233,-0.9537221085155406,-1.1017298875610382,-0.9712750957659544,-0.8685723666551396,-0.9086005876930494,-1.077109841416853,-0.988998961793874,-0.9554664651438217,-0.8316496681056956,-0.9603630854088608,-0.9764566930827466,-1.0228083866831252,-0.9388880299006014,-0.926246923196108,-0.9167908118851972,-0.7341973672746278,-0.84067738447777,-0.7043575715431079,-0.5763879643880467,-0.9943272413528103,-0.9579471924664194,-0.9630618103345544,-0.9097424212798859,-0.9007328833044539,-0.8647104414745096,-0.9506184537952356,-1.0773591896656498,-0.6843661667489906,-0.8684308624749177,-0.9394378864415626,-0.7411974373584183,"76,000",-1.049134215207953,-0.9931562479033742,-0.943080239375518
MARYLAND,0.3341652168552362,0.12170336824248756,-0.5016560297322274,0.19185580325930754,0.013491741718438924,0.011603427004934028,-0.02915725391601623,0.3607157499798011,0.427947730771628,0.040370026627203986,0.1673129629059015,-0.0005688438222336352,0.14083458657745107,0.09477944072802481,0.314325284724923,-0.05279606464152912,0.4790007486883643,0.5332033538567833,-0.5625129943331075,0.8989466173206454,0.47912767740430134,-0.5465233030207903,0.045148966608416836,0.182475151301437,0.14964176193110768,0.26928641741272763,0.08286414660724345,-0.39433304810668934,0.11157107015093506,0.27686325544480384,0.10774899897373044,0.8456939782822728,-0.09497875482498785,0.26777919517356846,"3,74,800",0.23551338951345738,0.09335048976002848,0.063264353031431
MASSACHUSETTS,0.5127074621417775,-0.6307885576008135,-2.008907833783532,-0.6267194583260783,-0.7960127613878997,-0.7621208863072683,-0.5528110742462637,-0.34800486225764327,-0.8889776448932928,-0.5548433340244397,-0.595835703716386,-0.6115071089012468,-0.5937171786033497,-0.6784111558531368,-0.6810439500570398,-0.6892091237516093,-0.2990581616648481,-0.4750776832474448,-0.6727758028171011,-0.5228452053348136,-0.020067522388681692,-0.6211849564389311,-0.09659778902265959,-0.6003932513523568,-0.5734063178319949,-0.5355795317088873,-0.4598706431118895,-0.6295217447905994,-0.6603689908564564,-0.708025795544617,-0.5835515092933716,-0.3435631786771734,-0.6990143267351083,0.4839884735732799,"1,68,700",-0.8281402368340379,-0.6631370890836883,-0.5688887559415501
MICHIGAN,1.23931501440587,0.6770358375329587,-0.8099575351063579,0.5370252673481843,0.3579617430402851,0.8160426941537267,0.8749791175156096,0.6022732576877403,0.7033296416249551,0.7746332311957864,0.498904715815266,0.704228651925343,0.7720703230364239,0.5422796966263954,0.3206250900083531,0.8470014252987527,0.4940877635705595,-0.29671371206355435,1.2209324314818226,0.7095997871929267,-0.1434640886296438,0.06570225500796387,0.7066338262201067,0.6862043031450865,0.6643775974923646,0.6301457375767574,0.3445712134944629,0.6248179708569213,0.6977704764790096,0.2891743685821716,0.8422557890075264,-0.42771917861098896,0.9189217426799452,0.4047117381600524,"5,26,900",0.4565073678873724,0.3582954482490721,0.7184672650468715
MINNESOTA,0.21060677406385508,-0.3470980062275748,-1.221026208938532,-0.5871799221920584,-0.27930775940513036,-0.3204105978001131,-0.1723285231448854,-0.06998584395227922,-0.15280818023588363,-0.28474651490520647,-0.41175351735861376,-0.4647454027649475,-0.33479713101389075,-0.3622237163573769,-0.48732493759156287,-0.33882440581459883,-0.15680916420415003,-0.46668408460349703,-0.13182202428153517,-0.5431323657056406,-0.020067522388681692,0.40914586073141135,-0.238344544653736,-0.32594183528864246,-0.30836618570018237,-0.2988868593432333,-0.6003845045278463,-0.30417738104452374,-0.26941103995855903,-0.5110479853467329,-0.3867228923562106,-0.4077874944161379,-0.29922429316609,-0.24391609703908193,"2,46,400",-0.3256191468794399,-0.48069692029956607,-0.2991570182106427
